# Appended automatically by .githooks/sgs-gates.sh — do not hand-edit entries.
# Audit log for SGS_VISUAL_GATE_SKIP bypasses of the visual-diff commit gate.
# Format: timestamp | block-name | MANUAL SKIP | reason
2026-08-15 23:29:03 | trust-bar | MANUAL SKIP | block.json-only change proven metadata-only via check-blockjson-metadata-only.py (exit 0) -- gate's block-level detection is picking up a concurrent session's unstaged edit.js/render.php changes in the same block directory, not anything in this commit's staged diff
2026-08-15 23:38:54 | card-grid | MANUAL SKIP | Uncommitted shadow-colour-extraction migration; committing to a feature branch for canary deploy + live Playwright verification immediately after, not skipping verification
2026-08-15 23:38:54 | cta-section | MANUAL SKIP | Uncommitted shadow-colour-extraction migration; committing to a feature branch for canary deploy + live Playwright verification immediately after, not skipping verification
2026-08-15 23:38:55 | info-box | MANUAL SKIP | Uncommitted shadow-colour-extraction migration; committing to a feature branch for canary deploy + live Playwright verification immediately after, not skipping verification
2026-08-15 23:38:56 | testimonial | MANUAL SKIP | Uncommitted shadow-colour-extraction migration; committing to a feature branch for canary deploy + live Playwright verification immediately after, not skipping verification
2026-08-15 23:39:32 | brand-strip | MANUAL SKIP | Uncommitted shadow-colour-extraction migration; committing to a feature branch for canary deploy + live Playwright verification immediately after, not skipping verification
2026-08-15 23:39:33 | card-grid | MANUAL SKIP | Uncommitted shadow-colour-extraction migration; committing to a feature branch for canary deploy + live Playwright verification immediately after, not skipping verification
2026-08-15 23:39:34 | cta-section | MANUAL SKIP | Uncommitted shadow-colour-extraction migration; committing to a feature branch for canary deploy + live Playwright verification immediately after, not skipping verification
2026-08-15 23:39:34 | info-box | MANUAL SKIP | Uncommitted shadow-colour-extraction migration; committing to a feature branch for canary deploy + live Playwright verification immediately after, not skipping verification
2026-08-15 23:39:35 | team-member | MANUAL SKIP | Uncommitted shadow-colour-extraction migration; committing to a feature branch for canary deploy + live Playwright verification immediately after, not skipping verification
2026-08-15 23:39:36 | testimonial | MANUAL SKIP | Uncommitted shadow-colour-extraction migration; committing to a feature branch for canary deploy + live Playwright verification immediately after, not skipping verification
2026-08-15 23:39:36 | trust-bar | MANUAL SKIP | Uncommitted shadow-colour-extraction migration; committing to a feature branch for canary deploy + live Playwright verification immediately after, not skipping verification
2026-08-16 02:54:23 | process-steps | MANUAL SKIP | Deploy currently blocked by an unrelated concurrent session's uncommitted WIP (container/hero/site-header/site-footer/trust-bar/cta-section) - cannot capture a live before/after against the canary until that clears. Code-level gates (audit:element-manifest, check:dead-controls) both verified clean. Known non-visual-parity case: canary post 1606 F3-Oracle-sgs-testimonial-slider has style.color.background set via the old native panel path and will revert to default post-deploy - confirmed with Bean as an acceptable scratch-page reset, not a regression to prevent.
2026-08-16 02:54:24 | testimonial-slider | MANUAL SKIP | Deploy currently blocked by an unrelated concurrent session's uncommitted WIP (container/hero/site-header/site-footer/trust-bar/cta-section) - cannot capture a live before/after against the canary until that clears. Code-level gates (audit:element-manifest, check:dead-controls) both verified clean. Known non-visual-parity case: canary post 1606 F3-Oracle-sgs-testimonial-slider has style.color.background set via the old native panel path and will revert to default post-deploy - confirmed with Bean as an acceptable scratch-page reset, not a regression to prevent.
2026-08-16 03:05:49 | container | MANUAL SKIP | Mid-build checkpoint on feature branch, not deployed. Schema collapses 4 gradient scalars to 1 string attr; every default is empty and no existing stored content has ever set a non-default value on these attrs, so rendered output is unchanged for all current pages. Editor gradient picker is intentionally non-functional until the next commit (GradientOverlayControl.js rewrite) lands, per this commit's own message. Real live visual-diff capture belongs at the end of the full build, not this intermediate storage-only step.
2026-08-16 03:05:50 | cta-section | MANUAL SKIP | Mid-build checkpoint on feature branch, not deployed. Schema collapses 4 gradient scalars to 1 string attr; every default is empty and no existing stored content has ever set a non-default value on these attrs, so rendered output is unchanged for all current pages. Editor gradient picker is intentionally non-functional until the next commit (GradientOverlayControl.js rewrite) lands, per this commit's own message. Real live visual-diff capture belongs at the end of the full build, not this intermediate storage-only step.
2026-08-16 03:05:50 | hero | MANUAL SKIP | Mid-build checkpoint on feature branch, not deployed. Schema collapses 4 gradient scalars to 1 string attr; every default is empty and no existing stored content has ever set a non-default value on these attrs, so rendered output is unchanged for all current pages. Editor gradient picker is intentionally non-functional until the next commit (GradientOverlayControl.js rewrite) lands, per this commit's own message. Real live visual-diff capture belongs at the end of the full build, not this intermediate storage-only step.
2026-08-16 03:05:51 | site-footer | MANUAL SKIP | Mid-build checkpoint on feature branch, not deployed. Schema collapses 4 gradient scalars to 1 string attr; every default is empty and no existing stored content has ever set a non-default value on these attrs, so rendered output is unchanged for all current pages. Editor gradient picker is intentionally non-functional until the next commit (GradientOverlayControl.js rewrite) lands, per this commit's own message. Real live visual-diff capture belongs at the end of the full build, not this intermediate storage-only step.
2026-08-16 03:05:52 | site-header | MANUAL SKIP | Mid-build checkpoint on feature branch, not deployed. Schema collapses 4 gradient scalars to 1 string attr; every default is empty and no existing stored content has ever set a non-default value on these attrs, so rendered output is unchanged for all current pages. Editor gradient picker is intentionally non-functional until the next commit (GradientOverlayControl.js rewrite) lands, per this commit's own message. Real live visual-diff capture belongs at the end of the full build, not this intermediate storage-only step.
2026-08-16 03:05:52 | trust-bar | MANUAL SKIP | Mid-build checkpoint on feature branch, not deployed. Schema collapses 4 gradient scalars to 1 string attr; every default is empty and no existing stored content has ever set a non-default value on these attrs, so rendered output is unchanged for all current pages. Editor gradient picker is intentionally non-functional until the next commit (GradientOverlayControl.js rewrite) lands, per this commit's own message. Real live visual-diff capture belongs at the end of the full build, not this intermediate storage-only step.
2026-08-16 03:38:42 | accordion-item | MANUAL SKIP | Prep migration off native WP colour panel onto SGS's own colour attrs (D636 gradient-rollout prerequisite), following the exact D635 pattern. VERIFIED, not assumed: queried the live canary DB directly for stored content setting a native colour on these 13 blocks. Found real hits — several 'F3 Oracle sgs-accordion-item'/'F3 Oracle sgs-accordion' test pages set style.color.text (e.g. #5c4f46) on sgs/accordion-item, which WILL reset to unset now that the block reads a new flat attr instead. These are automated render-diff oracle probe pages (Spec 31 F3), already treated as disposable test fixtures elsewhere in this repo (decisions.md notes an f3-oracle page's colour reading was itself dismissed as a probe artefact, not real content). The full prebuild chain's pytest oracle/converter suite (scripts/oracle/tests + scripts/converter/tests) already ran green against this exact change, so nothing in the automated test harness depends on this value. No OTHER blocks in this batch showed a real colour value in the DB query (accordion-item was the only hit). Flagging for Bean: if the F3 Oracle pages are used for manual visual QA (not just automated pytest), they may want re-generating after this branch merges.
